suite,concept,scale,declarative_score,declarative_pct
gpt2,low vision,1.5B,2.0,100.0
gpt2,menu bar,124M,2.0,100.0
gpt2,menu bar,355M,2.0,100.0
gpt2,menu bar,774M,2.0,100.0
gpt2,menu bar,1.5B,2.0,100.0
gpt2,pointer cancellation,124M,0.0,0.0
gpt2,pointer cancellation,355M,1.0,50.0
gpt2,pointer cancellation,774M,0.0,0.0
gpt2,pointer cancellation,1.5B,0.0,0.0
gpt2,radio group,124M,1.0,50.0
gpt2,radio group,355M,0.0,0.0
gpt2,radio group,774M,0.0,0.0
gpt2,radio group,1.5B,0.0,0.0
gpt2,reading order,124M,0.0,0.0
gpt2,reading order,355M,2.0,100.0
gpt2,reading order,774M,0.0,0.0
gpt2,reading order,1.5B,2.0,100.0
gpt2,redundant entry,124M,0.0,0.0
gpt2,redundant entry,355M,0.0,0.0
gpt2,redundant entry,774M,0.0,0.0
gpt2,redundant entry,1.5B,0.0,0.0
gpt2,responsive design,124M,0.0,0.0
gpt2,responsive design,355M,0.0,0.0
gpt2,responsive design,774M,2.0,100.0
gpt2,responsive design,1.5B,2.0,100.0
gpt2,screen reader,124M,1.0,50.0
gpt2,screen reader,355M,1.0,50.0
gpt2,screen reader,774M,2.0,100.0
gpt2,screen reader,1.5B,2.0,100.0
gpt2,section heading,124M,0.0,0.0
gpt2,section heading,355M,2.0,100.0
gpt2,section heading,774M,2.0,100.0
gpt2,section heading,1.5B,2.0,100.0
gpt2,semantic HTML,124M,1.0,50.0
gpt2,semantic HTML,355M,1.0,50.0
gpt2,semantic HTML,774M,1.0,50.0
gpt2,semantic HTML,1.5B,1.0,50.0
gpt2,semantic markup,124M,2.0,100.0
gpt2,semantic markup,355M,2.0,100.0
gpt2,semantic markup,774M,0.0,0.0
gpt2,semantic markup,1.5B,1.0,50.0
gpt2,sensory characteristics,124M,0.0,0.0
gpt2,sensory characteristics,355M,0.0,0.0
gpt2,sensory characteristics,774M,0.0,0.0
gpt2,sensory characteristics,1.5B,1.0,50.0
gpt2,sign language,124M,0.0,0.0
gpt2,sign language,355M,2.0,100.0
gpt2,sign language,774M,2.0,100.0
gpt2,sign language,1.5B,2.0,100.0
gpt2,skip link,124M,0.0,0.0
gpt2,skip link,355M,1.0,50.0
gpt2,skip link,774M,1.0,50.0
gpt2,skip link,1.5B,0.0,0.0
gpt2,status message,124M,1.0,50.0
gpt2,status message,355M,1.0,50.0
gpt2,status message,774M,2.0,100.0
gpt2,status message,1.5B,2.0,100.0
