condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
uniform,gpt2,gpt2-large,24,6,0.01217391304347826,0.9549770846497846,24,0.9912312028976982
uniform,gpt2,gpt2-large,29,19,0.01652173913043478,0.9389228669455103,24,0.9840239653577401
uniform,gpt2,gpt2-large,30,9,0.025217391304347827,0.9068896173989752,24,0.9785213334932301
uniform,gpt2,gpt2-large,35,6,0.029565217391304344,0.8909226043767047,24,0.967517760409091
uniform,gpt2,gpt2-large,28,19,0.029565217391304344,0.8909226043767047,24,0.967517760409091
uniform,gpt2,gpt2-large,30,8,0.046956521739130425,0.8275237958648594,24,0.9548351490748377
uniform,gpt2,gpt2-large,29,10,0.046956521739130425,0.8275237958648594,24,0.9548351490748377
uniform,gpt2,gpt2-large,35,17,0.047826086956521734,0.8243778236378612,24,0.9548351490748377
uniform,gpt2,gpt2-large,30,12,0.05652173913043478,0.7930697839291404,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,1,0.05652173913043478,0.7930697839291404,24,0.9486880446319079
uniform,gpt2,gpt2-large,28,14,0.0608695652173913,0.7775281884531549,24,0.9486880446319079
uniform,gpt2,gpt2-large,32,10,0.0626086956521739,0.7713343005112614,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,7,0.06608695652173913,0.7589874525518234,24,0.9486880446319079
uniform,gpt2,gpt2-large,25,6,0.06869565217391303,0.749764493394595,24,0.9486880446319079
uniform,gpt2,gpt2-large,29,2,0.07043478260869565,0.7436342012968032,24,0.9486880446319079
uniform,gpt2,gpt2-large,27,6,0.07043478260869565,0.7436342012968032,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,3,0.07217391304347825,0.7375189840952583,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,9,0.07478260869565216,0.7283751615575543,24,0.9486880446319079
uniform,gpt2,gpt2-large,30,4,0.07826086956521738,0.7162392905010878,24,0.9486880446319079
uniform,gpt2,gpt2-large,30,3,0.0826086956521739,0.7011629844471833,24,0.9486880446319079
